,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
156,Lomepal,157,262741,Mômes,0.456,https://api.spotify.com/v1/audio-analysis/2FRnrkO72S9tbqu6eLjq6b,0.687,176800,0.511,2FRnrkO72S9tbqu6eLjq6b,2.37e-06,0,0.116,-8.148,0,0.184,149.92,4,https://api.spotify.com/v1/tracks/2FRnrkO72S9tbqu6eLjq6b,audio_features,spotify:track:2FRnrkO72S9tbqu6eLjq6b,0.42
157,Nekfeu,158,261969,Alunissons,0.821,https://api.spotify.com/v1/audio-analysis/67bPDXCsUNsxyNnNg3jYGO,0.37,278333,0.328,67bPDXCsUNsxyNnNg3jYGO,0.000433,3,0.199,-11.58,0,0.0488,134.549,4,https://api.spotify.com/v1/tracks/67bPDXCsUNsxyNnNg3jYGO,audio_features,spotify:track:67bPDXCsUNsxyNnNg3jYGO,0.232
158,Bigflo & Oli,159,261795,Sur la lune,0.214,https://api.spotify.com/v1/audio-analysis/78iwevM29hXavHtX1sQekL,0.615,232800,0.657,78iwevM29hXavHtX1sQekL,7.94e-06,4,0.246,-8.993,1,0.145,89.594,4,https://api.spotify.com/v1/tracks/78iwevM29hXavHtX1sQekL,audio_features,spotify:track:78iwevM29hXavHtX1sQekL,0.378
159,Kaaris,160,261046,Gun salute,0.611,https://api.spotify.com/v1/audio-analysis/5UgUGPknu6JRgawaJAO9rX,0.862,209573,0.533,5UgUGPknu6JRgawaJAO9rX,2.26e-06,7,0.117,-5.96,0,0.115,119.956,4,https://api.spotify.com/v1/tracks/5UgUGPknu6JRgawaJAO9rX,audio_features,spotify:track:5UgUGPknu6JRgawaJAO9rX,0.257
160,Josman,161,260851,J'aime Bien!,0.697,https://api.spotify.com/v1/audio-analysis/7bg469g8qRoMwFQf6Vleh3,0.879,192000,0.576,7bg469g8qRoMwFQf6Vleh3,0.0,6,0.0879,-7.499,0,0.0438,119.978,4,https://api.spotify.com/v1/tracks/7bg469g8qRoMwFQf6Vleh3,audio_features,spotify:track:7bg469g8qRoMwFQf6Vleh3,0.217
161,Hiro,162,259631,A découvert,0.322,https://api.spotify.com/v1/audio-analysis/17NQSO5OECGGk6Pi9y7jM3,0.828,185669,0.54,17NQSO5OECGGk6Pi9y7jM3,0.0,7,0.176,-7.141,1,0.14,113.331,5,https://api.spotify.com/v1/tracks/17NQSO5OECGGk6Pi9y7jM3,audio_features,spotify:track:17NQSO5OECGGk6Pi9y7jM3,0.53
162,PNL,163,259564,Zoulou tchaing,0.653,https://api.spotify.com/v1/audio-analysis/1gRMO4h3NGb1ZJA7TNdMPj,0.656,325556,0.381,1gRMO4h3NGb1ZJA7TNdMPj,0.0,0,0.116,-8.757,0,0.0802,84.907,4,https://api.spotify.com/v1/tracks/1gRMO4h3NGb1ZJA7TNdMPj,audio_features,spotify:track:1gRMO4h3NGb1ZJA7TNdMPj,0.166
163,PNL,164,259552,A l'ammoniaque,0.4,https://api.spotify.com/v1/audio-analysis/1gVnckXtTdCoLwtiPPqlQS,0.592,316546,0.371,1gVnckXtTdCoLwtiPPqlQS,0.000367,9,0.0953,-9.965,0,0.0437,127.966,4,https://api.spotify.com/v1/tracks/1gVnckXtTdCoLwtiPPqlQS,audio_features,spotify:track:1gVnckXtTdCoLwtiPPqlQS,0.197
164,Ava Max,165,258396,Sweet but Psycho,0.0691,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,0.719,187436,0.704,25sgk305KZfyuqVBQIahim,0.0,1,0.166,-4.724,1,0.0476,133.002,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,0.628
165,Orelsan,166,258050,Rêves bizarres (feat. Damso),0.11,https://api.spotify.com/v1/audio-analysis/7lhuM9WUqdThw72dCBRmQW,0.816,212609,0.652,7lhuM9WUqdThw72dCBRmQW,0.0,10,0.0957,-6.157,0,0.231,143.995,4,https://api.spotify.com/v1/tracks/7lhuM9WUqdThw72dCBRmQW,audio_features,spotify:track:7lhuM9WUqdThw72dCBRmQW,0.736
166,Naza,167,257555,Vodka,0.26,https://api.spotify.com/v1/audio-analysis/0UgRJYESWGJG3yIsLZ2pH9,0.865,178998,0.716,0UgRJYESWGJG3yIsLZ2pH9,0.0,0,0.309,-6.885,1,0.0703,120.078,4,https://api.spotify.com/v1/tracks/0UgRJYESWGJG3yIsLZ2pH9,audio_features,spotify:track:0UgRJYESWGJG3yIsLZ2pH9,0.797
167,Ariana Grande,168,257043,7 rings,0.592,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,0.778,178627,0.317,6ocbgoVGwYJhOv1GgI9NsF,0.0,1,0.0881,-10.732,0,0.334,140.048,4,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,audio_features,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,0.327
168,PNL,169,253113,Chang,0.44,https://api.spotify.com/v1/audio-analysis/5n9NAd0Y5OUeOGU0nVtLua,0.745,314367,0.456,5n9NAd0Y5OUeOGU0nVtLua,0.0,8,0.072,-9.482,1,0.0874,94.032,4,https://api.spotify.com/v1/tracks/5n9NAd0Y5OUeOGU0nVtLua,audio_features,spotify:track:5n9NAd0Y5OUeOGU0nVtLua,0.124
169,Vladimir Cauchemar,170,252359,Elévation,0.078,https://api.spotify.com/v1/audio-analysis/2U2N1Jky3VTWJkb5lRam16,0.689,155728,0.929,2U2N1Jky3VTWJkb5lRam16,0.0,7,0.32,-4.76,1,0.277,123.011,4,https://api.spotify.com/v1/tracks/2U2N1Jky3VTWJkb5lRam16,audio_features,spotify:track:2U2N1Jky3VTWJkb5lRam16,0.57
