,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
169,0.698,0.885,-4.618,0.071,0.0553,0.0,0.103,0.867,127.957
170,0.756,0.69,-3.87,0.0656,0.329,0.0,0.0586,0.783,162.005
171,0.716,0.972,-2.302,0.196,0.0145,3.22e-05,0.317,0.576,110.026
172,0.803,0.686,-6.883,0.0537,0.128,1.47e-06,0.0821,0.808,110.004
173,0.721,0.765,-3.933,0.039,0.189,0.0,0.123,0.742,109.093
174,0.748,0.803,-4.31,0.0798,0.0993,0.0,0.0752,0.897,112.058
175,0.759,0.847,-6.664,0.0573,0.0605,0.0,0.0652,0.886,113.964
176,0.678,0.797,-5.318,0.049,0.256,0.0,0.127,0.885,142.507
177,0.741,0.755,-4.168,0.0348,0.478,0.0,0.383,0.959,109.891
178,0.552,0.644,-5.151,0.145,0.107,0.0,0.171,0.905,200.168
179,0.797,0.933,-3.058,0.128,0.233,0.0,0.062,0.615,98.017
180,0.692,0.796,-3.379,0.0307,0.104,0.000111,0.0849,0.881,108.99
181,0.843,0.507,-10.117,0.0629,0.0141,0.0,0.077,0.787,108.003
182,0.596,0.901,-5.625,0.0469,0.0445,0.000131,0.245,0.704,122.024
183,0.248,0.75,-2.964,0.0397,0.318,0.0,0.211,0.18,70.679
184,0.709,0.864,-4.493,0.0604,0.0942,0.0,0.338,0.541,99.952
185,0.728,0.779,-5.177,0.261,0.0778,0.0,0.695,0.925,171.884
186,0.869,0.691,-6.872,0.192,0.12,0.0,0.102,0.875,95.019
187,0.843,0.729,-4.138,0.342,0.0576,0.0,0.0267,0.472,172.017
188,0.882,0.777,-4.445,0.0504,0.354,0.0,0.135,0.533,121.985
189,0.704,0.643,-4.705,0.0903,0.00807,0.0,0.0895,0.806,176.038
190,0.641,0.652,-8.575,0.264,0.42,1.74e-06,0.094,0.406,175.022
191,0.715,0.691,-5.405,0.111,0.413,0.0,0.166,0.381,93.024
192,0.531,0.752,-3.33,0.2,0.214,0.0,0.145,0.884,192.443
193,0.754,0.77,-5.129,0.0665,0.189,2.36e-06,0.0945,0.513,92.004
194,0.928,0.426,-9.252,0.209,0.119,0.0,0.0842,0.264,137.064
195,0.437,0.81,-7.004,0.0518,0.186,0.0,0.371,0.315,137.542
196,0.419,0.809,-4.596,0.0357,0.323,0.0,0.699,0.635,88.418
197,0.854,0.556,-4.49,0.14,0.345,0.0,0.165,0.342,119.938
198,0.751,0.579,-4.036,0.0321,0.398,2.28e-05,0.133,0.349,105.031
199,0.666,0.795,-3.092,0.346,0.0758,0.0,0.119,0.435,139.959
200,0.913,0.788,-2.889,0.263,0.0546,0.00064,0.168,0.544,120.934
201,0.54,0.724,-5.276,0.28,0.00621,0.0,0.381,0.184,149.793
202,0.866,0.83,0.22,0.112,0.0973,0.0,0.243,0.356,124.079
203,0.737,0.624,-5.236,0.199,0.0149,0.0,0.145,0.803,172.036
204,0.618,0.836,-3.362,0.379,0.0474,0.0,0.172,0.54,212.058
205,0.832,0.71,-5.541,0.231,0.0563,0.0,0.086,0.373,135.107
206,0.565,0.675,-3.875,0.0471,0.004,0.0,0.0946,0.31,82.462
207,0.772,0.803,-3.035,0.0468,0.188,0.0,0.434,0.853,94.981
208,0.917,0.476,-6.621,0.0655,0.304,0.0,0.103,0.87,93.987
209,0.302,0.758,-5.273,0.0424,0.202,0.0,0.881,0.669,174.704
210,0.686,0.411,-8.265,0.0401,0.207,1.42e-06,0.188,0.185,130.113
211,0.707,0.756,-5.696,0.0415,0.5,3.78e-06,0.108,0.543,153.499
212,0.789,0.797,-2.726,0.114,0.0576,0.0,0.104,0.73,162.079
213,0.7,0.82,-4.126,0.0351,0.196,0.0,0.258,0.313,129.973
214,0.69,0.385,-8.444,0.0817,0.181,0.0,0.236,0.19,129.958
215,0.695,0.379,-9.096,0.0339,0.861,0.0,0.106,0.808,105.108
216,0.681,0.788,-4.323,0.0785,0.0482,0.0,0.0753,0.839,170.019
217,0.827,0.895,-1.233,0.0985,0.233,0.0,0.149,0.569,129.051
218,0.697,0.72,-4.284,0.048,0.209,0.0,0.0941,0.336,129.98
219,0.77,0.865,-4.246,0.226,0.0215,0.0,0.0476,0.716,170.158
220,0.619,0.563,-3.414,0.0865,0.29,0.0,0.128,0.25,139.653
221,0.806,0.722,-2.463,0.0389,0.203,0.0,0.0957,0.569,134.984
222,0.58,0.491,-5.156,0.0473,0.683,0.0,0.122,0.843,83.81
223,0.909,0.755,-2.59,0.236,0.042,0.00121,0.106,0.638,120.948
224,0.667,0.704,-6.061,0.0369,0.0304,0.805,0.35,0.612,124.985
225,0.765,0.814,-3.14,0.0666,0.144,0.0,0.61,0.818,164.073
226,0.619,0.452,-5.449,0.028,0.502,0.0,0.122,0.174,131.981
227,0.377,0.453,-5.814,0.0314,0.826,0.88,0.0708,0.365,127.897
228,0.796,0.291,-11.894,0.0403,0.836,0.0,0.126,0.923,176.03
229,0.745,0.874,-3.466,0.0465,0.097,0.0,0.743,0.85,81.987
230,0.755,0.72,-4.215,0.0826,0.348,0.0,0.168,0.713,175.93
231,0.752,0.753,-5.84,0.0661,0.104,0.0,0.0705,0.911,112.094
232,0.677,0.751,-5.078,0.145,0.198,0.0,0.0875,0.758,178.067
233,0.582,0.923,-5.511,0.0309,0.0028,0.0893,0.103,0.317,131.972
234,0.885,0.801,-4.716,0.0882,0.225,1.65e-06,0.0733,0.466,95.011
235,0.76,0.844,-6.646,0.0574,0.0507,0.0,0.0694,0.902,113.973
236,0.719,0.762,-3.949,0.039,0.183,0.0,0.114,0.742,109.085
237,0.701,0.761,-3.336,0.042,0.294,0.0,0.109,0.923,143.857
238,0.551,0.644,-5.144,0.145,0.109,0.0,0.16,0.902,200.16
239,0.481,0.632,-6.208,0.0536,0.105,0.0,0.0858,0.952,77.293
240,0.472,0.783,-3.783,0.0515,0.191,0.0,0.0778,0.958,141.662
241,0.54,0.716,-5.397,0.0499,0.0989,0.0,0.0871,0.813,109.97
242,0.749,0.782,-3.436,0.0331,0.368,0.0,0.412,0.962,109.95
243,0.76,0.775,-6.579,0.0784,0.148,0.0,0.0886,0.754,101.946
244,0.57,0.81,-4.607,0.0529,0.214,0.0,0.141,0.899,142.616
245,0.807,0.853,-3.644,0.0513,0.106,0.0,0.0937,0.892,82.027
246,0.895,0.728,-5.838,0.22,0.104,0.0,0.0671,0.859,95.015
247,0.723,0.777,-3.503,0.108,0.0426,3.68e-06,0.0451,0.961,91.017
248,0.499,0.683,-5.036,0.0354,0.542,0.0,0.0923,0.275,139.701
249,0.595,0.798,-4.318,0.0687,0.614,0.0,0.0596,0.973,138.881
250,0.716,0.71,-5.708,0.111,0.166,7.73e-05,0.107,0.904,173.911
251,0.745,0.882,-3.636,0.0407,0.0723,2.45e-05,0.73,0.693,100.014
252,0.77,0.79,-5.453,0.0814,0.139,0.0,0.0829,0.872,93.97
253,0.754,0.743,-5.049,0.0918,0.144,0.0,0.275,0.74,176.015
254,0.776,0.574,-9.882,0.0317,0.466,7.83e-05,0.131,0.412,121.03
255,0.862,0.503,-10.104,0.0655,0.015,0.0,0.0764,0.748,108.024
256,0.724,0.654,-8.37,0.0985,0.164,0.0,0.229,0.708,139.451
257,0.691,0.829,-2.962,0.0986,0.434,0.0,0.128,0.865,97.96
258,0.635,0.855,-5.381,0.04,0.554,0.0,0.903,0.754,135.03
259,0.813,0.691,-6.298,0.034,0.0447,0.0,0.128,0.578,109.972
260,0.784,0.809,-6.458,0.0824,0.235,0.00122,0.0772,0.845,102.048
261,0.594,0.796,-3.94,0.0384,0.222,0.0,0.24,0.253,99.987
262,0.777,0.84,-4.384,0.082,0.151,1.24e-06,0.249,0.804,97.979
263,0.685,0.79,-3.487,0.0314,0.0968,0.000251,0.0819,0.894,109.015
264,0.744,0.877,-4.13,0.0359,0.3,0.0,0.139,0.693,101.958
265,0.802,0.674,-7.033,0.0562,0.152,4.68e-06,0.0838,0.83,110.02
266,0.775,0.882,-2.803,0.04,0.0922,0.0,0.108,0.845,110.025
267,0.753,0.811,-5.724,0.0697,0.117,0.0,0.211,0.961,106.014
268,0.693,0.811,-2.229,0.0823,0.66,0.0,0.0542,0.965,138.234
269,0.734,0.851,-3.679,0.0367,0.0961,0.0,0.144,0.861,104.931
270,0.848,0.644,-4.365,0.153,0.275,0.0,0.791,0.645,121.946
271,0.819,0.457,-6.962,0.135,0.222,0.0,0.128,0.273,115.997
272,0.808,0.586,-7.242,0.169,0.641,0.0,0.14,0.568,124.041
273,0.783,0.653,-1.964,0.272,0.673,0.00316,0.12,0.41,91.964
274,0.707,0.609,-5.673,0.126,0.711,0.0,0.137,0.579,134.91
275,0.664,0.576,-5.395,0.0349,0.0073,6.28e-05,0.0912,0.121,134.934
276,0.739,0.549,-6.147,0.178,0.0135,0.0,0.112,0.345,127.055
277,0.879,0.686,-5.719,0.0867,0.213,0.0,0.202,0.347,117.984
278,0.811,0.681,-4.715,0.0712,0.673,0.0,0.636,0.468,134.062
279,0.815,0.514,-9.446,0.361,0.54,0.0,0.611,0.623,120.054
280,0.768,0.671,-7.778,0.318,0.394,0.0,0.179,0.446,123.943
281,0.704,0.69,-5.451,0.16,0.249,0.0,0.123,0.402,144.045
282,0.768,0.735,-2.511,0.0669,0.202,0.0,0.0557,0.303,129.99
283,0.807,0.504,-6.931,0.126,0.605,0.0,0.123,0.429,129.991
284,0.724,0.73,-4.479,0.054,0.258,0.0,0.0923,0.259,111.613
285,0.684,0.725,-4.343,0.0863,0.448,0.0,0.194,0.575,137.945
286,0.796,0.643,-6.965,0.179,0.147,0.0,0.507,0.316,134.09
287,0.722,0.706,-6.032,0.134,0.537,4.31e-06,0.153,0.513,120.032
288,0.7,0.499,-10.219,0.228,0.0655,0.0,0.109,0.182,129.949
289,0.766,0.715,-3.025,0.231,0.348,0.0,0.098,0.555,128.085
290,0.737,0.699,-5.804,0.15,0.222,1.52e-05,0.0785,0.42,135.998
291,0.78,0.586,-4.569,0.14,0.211,0.0,0.104,0.31,140.086
292,0.651,0.665,-6.754,0.166,0.0439,0.0,0.0943,0.181,123.972
293,0.549,0.798,-4.185,0.0705,0.126,0.0,0.329,0.905,100.054
294,0.836,0.649,-3.547,0.148,0.0254,0.0,0.0758,0.433,96.884
295,0.931,0.604,-1.41,0.0573,0.456,0.0,0.0488,0.864,129.926
296,0.821,0.749,-4.875,0.0438,0.148,0.0,0.356,0.894,87.996
297,0.698,0.562,-7.193,0.33,0.1,0.0,0.338,0.683,180.096
298,0.686,0.772,-4.094,0.0596,0.532,0.000233,0.117,0.697,159.96
299,0.756,0.493,-7.212,0.067,0.00518,4.69e-06,0.101,0.322,115.011
300,0.851,0.666,-8.659,0.0333,0.0254,3.05e-05,0.111,0.609,119.963
301,0.698,0.711,-8.159,0.0355,0.00302,0.866,0.0841,0.242,120.08
