,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
24,ANAVITÓRIA,25,1719718,Pupila,0.401,https://api.spotify.com/v1/audio-analysis/7Gk5OrMYaMRtT2JmgJVAfk,0.716,202288,0.426,7Gk5OrMYaMRtT2JmgJVAfk,0.0,10,0.11,-9.576,1,0.128,88.794,4,https://api.spotify.com/v1/tracks/7Gk5OrMYaMRtT2JmgJVAfk,audio_features,spotify:track:7Gk5OrMYaMRtT2JmgJVAfk,0.434
25,Yasmin Santos,26,1655294,"Para, Pensa e Volta - Ao Vivo",0.245,https://api.spotify.com/v1/audio-analysis/2KyXyTrp3kp1Fsg7B1osYD,0.611,174179,0.791,2KyXyTrp3kp1Fsg7B1osYD,0.0,2,0.237,-3.095,1,0.0436,111.928,4,https://api.spotify.com/v1/tracks/2KyXyTrp3kp1Fsg7B1osYD,audio_features,spotify:track:2KyXyTrp3kp1Fsg7B1osYD,0.572
26,MC Kevin o Chris,27,1602277,Ela É do Tipo,0.945,https://api.spotify.com/v1/audio-analysis/2x8TNY9KwNvD19gVGs4WOP,0.632,204931,0.398,2x8TNY9KwNvD19gVGs4WOP,0.0,6,0.228,-6.615,1,0.373,90.695,4,https://api.spotify.com/v1/tracks/2x8TNY9KwNvD19gVGs4WOP,audio_features,spotify:track:2x8TNY9KwNvD19gVGs4WOP,0.633
27,Gustavo Mioto,28,1582002,Solteiro Não Trai - Ao Vivo,0.483,https://api.spotify.com/v1/audio-analysis/7oEr56KG6odStlQH0nvdyr,0.493,187349,0.832,7oEr56KG6odStlQH0nvdyr,0.0,10,0.956,-3.42,1,0.201,157.964,4,https://api.spotify.com/v1/tracks/7oEr56KG6odStlQH0nvdyr,audio_features,spotify:track:7oEr56KG6odStlQH0nvdyr,0.599
28,Dilsinho,29,1575340,Péssimo Negócio - Ao Vivo,0.801,https://api.spotify.com/v1/audio-analysis/5MMrkwK6AgNAsgHVdC7daZ,0.538,201378,0.651,5MMrkwK6AgNAsgHVdC7daZ,0.0,10,0.948,-5.805,1,0.0336,148.03,4,https://api.spotify.com/v1/tracks/5MMrkwK6AgNAsgHVdC7daZ,audio_features,spotify:track:5MMrkwK6AgNAsgHVdC7daZ,0.544
29,Pineapple StormTv,30,1561162,Poesia Acústica #7: Céu Azul,0.0873,https://api.spotify.com/v1/audio-analysis/2FGhB10Gon36GgFcOTMQEW,0.795,572039,0.697,2FGhB10Gon36GgFcOTMQEW,0.0,9,0.0997,-4.276,0,0.31,102.756,4,https://api.spotify.com/v1/tracks/2FGhB10Gon36GgFcOTMQEW,audio_features,spotify:track:2FGhB10Gon36GgFcOTMQEW,0.542
30,Projota,31,1549948,Sei Lá,0.519,https://api.spotify.com/v1/audio-analysis/6l1PdE7lQbodewVQh16GCM,0.661,190364,0.43,6l1PdE7lQbodewVQh16GCM,0.0,6,0.111,-8.738,1,0.0422,151.955,3,https://api.spotify.com/v1/tracks/6l1PdE7lQbodewVQh16GCM,audio_features,spotify:track:6l1PdE7lQbodewVQh16GCM,0.962
31,Hungria Hip Hop,32,1542186,Um Pedido,0.39,https://api.spotify.com/v1/audio-analysis/3CgZi8DMUftJHK6WL2gKc1,0.813,203546,0.57,3CgZi8DMUftJHK6WL2gKc1,0.0,1,0.0987,-7.709,1,0.139,139.996,4,https://api.spotify.com/v1/tracks/3CgZi8DMUftJHK6WL2gKc1,audio_features,spotify:track:3CgZi8DMUftJHK6WL2gKc1,0.215
32,Zé Neto & Cristiano,33,1499096,Notificação Preferida - Ao Vivo,0.778,https://api.spotify.com/v1/audio-analysis/3tA0vALUwrzkTgHcm9j6oJ,0.398,182341,0.838,3tA0vALUwrzkTgHcm9j6oJ,0.0,8,0.189,-4.734,0,0.13,156.008,3,https://api.spotify.com/v1/tracks/3tA0vALUwrzkTgHcm9j6oJ,audio_features,spotify:track:3tA0vALUwrzkTgHcm9j6oJ,0.206
33,Anitta,34,1481043,Onda diferente (feat. Papatinho),0.333,https://api.spotify.com/v1/audio-analysis/2H8ETIUEoN9YMf56X66bxd,0.705,160900,0.721,2H8ETIUEoN9YMf56X66bxd,0.0,1,0.101,-5.545,0,0.514,75.132,4,https://api.spotify.com/v1/tracks/2H8ETIUEoN9YMf56X66bxd,audio_features,spotify:track:2H8ETIUEoN9YMf56X66bxd,0.574
