,Artist,Position,Streams,Track Name,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
168,SPITZ,169,76385,空も飛べるはず,0.0424,https://api.spotify.com/v1/audio-analysis/3P2aSkjcbUYbcYr13EFE8n,0.593,271400,0.81,3P2aSkjcbUYbcYr13EFE8n,2.83e-06,0,0.119,-4.389,1,0.0278,114.936,4,https://api.spotify.com/v1/tracks/3P2aSkjcbUYbcYr13EFE8n,audio_features,spotify:track:3P2aSkjcbUYbcYr13EFE8n,0.67
169,King Gnu,170,76277,The hole,0.655,https://api.spotify.com/v1/audio-analysis/6aPDcQqxHILkKLqDdtIKu7,0.51,275733,0.445,6aPDcQqxHILkKLqDdtIKu7,0.0,5,0.11,-6.014,0,0.0255,75.012,4,https://api.spotify.com/v1/tracks/6aPDcQqxHILkKLqDdtIKu7,audio_features,spotify:track:6aPDcQqxHILkKLqDdtIKu7,0.111
170,FUNKY MONKEY BABYS,171,76210,ヒーロー,0.0502,https://api.spotify.com/v1/audio-analysis/5iSNxrAoctBnFfyz8J9bDO,0.622,293653,0.818,5iSNxrAoctBnFfyz8J9bDO,0.0,0,0.392,-4.101,1,0.0324,120.974,4,https://api.spotify.com/v1/tracks/5iSNxrAoctBnFfyz8J9bDO,audio_features,spotify:track:5iSNxrAoctBnFfyz8J9bDO,0.572
171,Carly Rae Jepsen,172,76172,Call Me Maybe,0.0162,https://api.spotify.com/v1/audio-analysis/20I6sIOMTCkB6w7ryavxtO,0.782,193400,0.6,20I6sIOMTCkB6w7ryavxtO,1.81e-06,7,0.108,-6.532,1,0.0416,120.05,4,https://api.spotify.com/v1/tracks/20I6sIOMTCkB6w7ryavxtO,audio_features,spotify:track:20I6sIOMTCkB6w7ryavxtO,0.612
172,Ai Otsuka,173,76061,プラネタリウム,0.267,https://api.spotify.com/v1/audio-analysis/3zfyzbHuqcT2AAffAyLm02,0.375,307833,0.576,3zfyzbHuqcT2AAffAyLm02,3.38e-05,2,0.101,-5.741,0,0.0364,197.899,4,https://api.spotify.com/v1/tracks/3zfyzbHuqcT2AAffAyLm02,audio_features,spotify:track:3zfyzbHuqcT2AAffAyLm02,0.503
173,AAA,174,75805,さよならの前に,0.0364,https://api.spotify.com/v1/audio-analysis/7vwXjDrZT2mqiFynlEwwgG,0.545,320373,0.853,7vwXjDrZT2mqiFynlEwwgG,0.0,1,0.117,-4.699,1,0.029,98.02,4,https://api.spotify.com/v1/tracks/7vwXjDrZT2mqiFynlEwwgG,audio_features,spotify:track:7vwXjDrZT2mqiFynlEwwgG,0.525
174,HIRAIDAI,175,75678,THE GIFT,0.337,https://api.spotify.com/v1/audio-analysis/5qTwnr6WbWeeUDS9dcl5g6,0.444,303097,0.523,5qTwnr6WbWeeUDS9dcl5g6,0.0,1,0.113,-4.522,1,0.0286,185.872,3,https://api.spotify.com/v1/tracks/5qTwnr6WbWeeUDS9dcl5g6,audio_features,spotify:track:5qTwnr6WbWeeUDS9dcl5g6,0.42
175,ZAYN,176,74879,"A Whole New World (End Title) - From ""Aladdin""",0.0575,https://api.spotify.com/v1/audio-analysis/1iWHabUgUuuKLBa0TzTHfk,0.302,242956,0.414,1iWHabUgUuuKLBa0TzTHfk,0.0,2,0.0861,-8.16,1,0.0319,110.508,4,https://api.spotify.com/v1/tracks/1iWHabUgUuuKLBa0TzTHfk,audio_features,spotify:track:1iWHabUgUuuKLBa0TzTHfk,0.105
176,BUMP OF CHICKEN,177,74757,月虹,0.00654,https://api.spotify.com/v1/audio-analysis/2uZO9HX0ShlPjTnn7LCCWd,0.554,287253,0.921,2uZO9HX0ShlPjTnn7LCCWd,0.0,2,0.235,-3.699,0,0.0313,99.963,4,https://api.spotify.com/v1/tracks/2uZO9HX0ShlPjTnn7LCCWd,audio_features,spotify:track:2uZO9HX0ShlPjTnn7LCCWd,0.755
177,Creep Hyp,178,74692,栞,0.0117,https://api.spotify.com/v1/audio-analysis/2Bsg6EfrmEx0x0eC8v4vuG,0.505,261547,0.883,2Bsg6EfrmEx0x0eC8v4vuG,0.0,6,0.0578,-3.094,1,0.0481,100.496,4,https://api.spotify.com/v1/tracks/2Bsg6EfrmEx0x0eC8v4vuG,audio_features,spotify:track:2Bsg6EfrmEx0x0eC8v4vuG,0.666
