,_id,album,artists,country,duration_ms,href,id,name,popularity,album_href,artists_href,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
22,5cdcc0e2e77ddf1a8fa6bb83,Dame la Mano,Los Bonnitos,argentina,174786,https://api.spotify.com/v1/tracks/1c9idCXifqGVxnMIGwd7cK,1c9idCXifqGVxnMIGwd7cK,Baila Baila,31,https://api.spotify.com/v1/albums/5BS55Mthq5I0pN5N0mHaIM,https://api.spotify.com/v1/artists/7d1kmnhwauydKmuAvjgQrH,0.735,0.915,-3.544,0.0336,0.108,0.0,0.0788,0.962,108.003
23,5cdcc0e2e77ddf1a8fa6bb85,Sola Otra Vez,El Polaco,argentina,208000,https://api.spotify.com/v1/tracks/1zwH02KhFWC4wOtiZ1We1g,1zwH02KhFWC4wOtiZ1We1g,Sola Otra Vez,46,https://api.spotify.com/v1/albums/2lVKzhuuSFd1JVJe9U1gbV,https://api.spotify.com/v1/artists/3ucYybVr1mTuB04HtoBDCc,0.669,0.902,-3.386,0.0334,0.0454,0.0,0.0937,0.94,104.971
24,5cdcc0e5e77ddf1a8fa6bbbd,Cuando Se Pone a Bailar,Rombai,argentina,195274,https://api.spotify.com/v1/tracks/1MpKZi1zTXpERKwxmOu1PH,1MpKZi1zTXpERKwxmOu1PH,Cuando Se Pone a Bailar,60,https://api.spotify.com/v1/albums/2PnTfdBKqkOYtazDgtClqX,https://api.spotify.com/v1/artists/5KQX0Ui06LVm6PApyicRFK,0.588,0.682,-7.169,0.173,0.0851,2.69e-05,0.084,0.937,205.643
25,5cdcc0e5e77ddf1a8fa6bbbe,Pasarla Bien,Marama,argentina,185431,https://api.spotify.com/v1/tracks/0ZzVPCGdkpKcxAzMNDD5UZ,0ZzVPCGdkpKcxAzMNDD5UZ,Pasarla Bien,48,https://api.spotify.com/v1/albums/1P2btVGfdXQYnOrZKCglpN,https://api.spotify.com/v1/artists/4GepMkTgrIZECoCC55vqjW,0.652,0.733,-6.368,0.0906,0.0456,0.0,0.103,0.754,108.062
26,5cdcc0e5e77ddf1a8fa6bbbf,Amor para un Rato,Olvidate!,argentina,180182,https://api.spotify.com/v1/tracks/47EEKhimMiDtUfYNR5Ii58,47EEKhimMiDtUfYNR5Ii58,Amor para un Rato,48,https://api.spotify.com/v1/albums/6d2tfDq3ySYq0EfwRsWtl0,https://api.spotify.com/v1/artists/7Czvx73uua4PB239Dza1Je,0.767,0.82,-4.936,0.137,0.0222,0.0,0.0493,0.785,110.076
27,5cdcc0e5e77ddf1a8fa6bbc1,Llamame Mas Temprano / Hicimos un Pacto - Single,Mano Arriba,argentina,185438,https://api.spotify.com/v1/tracks/5aHJug2wnupoGfgfxRudsk,5aHJug2wnupoGfgfxRudsk,Llamame Mas Temprano,54,https://api.spotify.com/v1/albums/7rTpfdX5EFZWlWxMyeAhKY,https://api.spotify.com/v1/artists/4YBAOrBF9vBB9inOLtpRzp,0.828,0.849,-4.43,0.0749,0.162,0.0,0.0967,0.966,100.014
28,5cdcc0e5e77ddf1a8fa6bbc2,Sonido de la Costa,Sonido De La Costa,argentina,193175,https://api.spotify.com/v1/tracks/0v77loD1x0Nmj7MKZvXWGq,0v77loD1x0Nmj7MKZvXWGq,Que Hablas del Amor,31,https://api.spotify.com/v1/albums/5o5fQnyJoI0eUhyaznGxY5,https://api.spotify.com/v1/artists/29W4Fw8TDGfXD7C9EjJkzc,0.708,0.951,-2.864,0.0757,0.157,0.0,0.355,0.663,95.969
29,5cdcc0e5e77ddf1a8fa6bbc3,Jamas,RC BAND,argentina,176509,https://api.spotify.com/v1/tracks/2wJ5x9GNxpvSSFaVsfLBPy,2wJ5x9GNxpvSSFaVsfLBPy,Jamas,0,https://api.spotify.com/v1/albums/0ivQGxe00QPAvkZmKPDvp6,https://api.spotify.com/v1/artists/3T9mIcWq46otZ8Nk2w0bRw,0.711,0.637,-6.39,0.0414,0.447,0.0,0.227,0.889,98.028
30,5cdcc0e5e77ddf1a8fa6bbc4,Ma!!,AX 13,argentina,238040,https://api.spotify.com/v1/tracks/5BkHXfc2s8tRf72DX3dadK,5BkHXfc2s8tRf72DX3dadK,Essa menina,35,https://api.spotify.com/v1/albums/2XioSWBi2jJmmUcFHfp5yo,https://api.spotify.com/v1/artists/474st1ZFIh7IOiUcw9ojHd,0.483,0.812,-6.624,0.0572,0.0593,0.0,0.252,0.917,104.941
31,5cdcc0e5e77ddf1a8fa6bbc5,No Es Tan Fácil Ser el Reja,El Reja,argentina,191805,https://api.spotify.com/v1/tracks/4hRQNf8Fu1riPlMfgANckW,4hRQNf8Fu1riPlMfgANckW,Soltero Hasta la Tumba,0,https://api.spotify.com/v1/albums/59kKCl5NhuxkvkC29OjXfN,https://api.spotify.com/v1/artists/7HSeegdmjLYRJpkOYIaZIW,0.81,0.687,-7.455,0.0396,0.0201,0.0,0.147,0.95,104.976
